"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
53,53,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_INSTS_VMEM_WR",524288.000000,1000818644809389,1000818645954800
53,53,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_VMEM_TA_CMD_FIFO_FULL",73745442.000000,1000818644809389,1000818645954800
53,53,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCC_WRITE_SECTORS",33554432.000000,1000818644809389,1000818645954800
53,53,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCP_TCP_TA_DATA_STALL_CYCLES",50473320.000000,1000818644809389,1000818645954800
53,53,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCP_TCP_TA_ADDR_STALL_CYCLES",81984184.000000,1000818644809389,1000818645954800
54,54,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_INSTS_VMEM_WR",524288.000000,1000818646060520,1000818647216570
54,54,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_VMEM_TA_CMD_FIFO_FULL",71551890.000000,1000818646060520,1000818647216570
54,54,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCC_WRITE_SECTORS",33554432.000000,1000818646060520,1000818647216570
54,54,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCP_TCP_TA_DATA_STALL_CYCLES",56663695.000000,1000818646060520,1000818647216570
54,54,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCP_TCP_TA_ADDR_STALL_CYCLES",85615197.000000,1000818646060520,1000818647216570
55,55,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_INSTS_VMEM_WR",524288.000000,1000818647312091,1000818648472062
55,55,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_VMEM_TA_CMD_FIFO_FULL",71492709.000000,1000818647312091,1000818648472062
55,55,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCC_WRITE_SECTORS",33554432.000000,1000818647312091,1000818648472062
55,55,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCP_TCP_TA_DATA_STALL_CYCLES",57949912.000000,1000818647312091,1000818648472062
55,55,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCP_TCP_TA_ADDR_STALL_CYCLES",87191756.000000,1000818647312091,1000818648472062
56,56,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_INSTS_VMEM_WR",524288.000000,1000818648566103,1000818649722754
56,56,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"SQ_VMEM_TA_CMD_FIFO_FULL",73152168.000000,1000818648566103,1000818649722754
56,56,"Agent 1",1,43587,43587,2097152,1,"gemm",512,131072,0,128,0,112,"TCC_WRITE_SECTORS",33554432.000000,1000818648566103,1000818649722754
