"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
25,6144,"; _moe_gemm_kernel_triton",0,0,0,0,""
25,6144,"s_load_dwordx2 s[2:3], s[0:1], 0x0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6152,"s_load_dwordx8 s[4:11], s[0:1], 0x8",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6160,"s_load_dwordx4 s[12:15], s[0:1], 0x28",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6168,"s_waitcnt lgkmcnt(0)",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6172,"s_branch 56",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6176,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6180,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6184,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6188,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6192,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6196,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6200,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6204,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6208,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6212,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6216,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6220,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6224,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6228,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6232,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6236,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6240,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6244,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6248,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6252,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6256,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6260,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6264,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6268,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6272,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6276,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6280,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6284,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6288,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6292,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6296,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6300,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6304,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6308,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6312,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6316,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6320,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6324,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6328,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6332,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
25,6336,"s_nop 0",0,0,0,0,"/home/adespirl/wave/tests/kernel/wave/moe/moe_triton.py:14"
