"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
26,6592,"s_addc_u32 s1, s9, s1",1056,4248,24,8844,""
26,6596,"s_lshl_b64 s[8:9], s[16:17], 2",1056,4232,4,0,""
26,6600,"v_lshrrev_b32_e32 v26, 1, v0",1056,5664,1440,0,""
26,6604,"s_add_u32 s6, s6, s8",1056,4260,36,0,""
26,6608,"s_addc_u32 s7, s7, s9",1056,4232,8,0,""
26,6612,"v_lshlrev_b32_e32 v1, 2, v26",1056,5768,1540,0,""
26,6616,"global_load_dword v2, v1, s[6:7]",1056,16044,11820,8444,""
26,6624,"s_load_dword s16, s[0:1], 0x0",1056,4320,8,0,""
26,6632,"v_lshlrev_b32_e32 v1, 5, v0",1056,5064,840,0,""
26,6636,"s_mov_b64 s[8:9], 0x7fff",1056,4236,12,0,""
26,6644,"s_movk_i32 s14, 0x3000",1056,4296,0,0,""
26,6648,"v_and_b32_e32 v20, 32, v1",1056,5068,844,0,""
26,6652,"v_mov_b32_e32 v19, 0",1056,4560,336,0,""
26,6656,"s_mov_b64 s[18:19], 0x8000",1056,4256,8,0,""
26,6664,"v_accvgpr_write_b32 a63, 0",1056,6404,2180,0,""
26,6672,"v_accvgpr_write_b32 a62, 0",1056,4412,188,0,""
26,6680,"v_accvgpr_write_b32 a61, 0",1056,4500,272,0,""
26,6688,"v_accvgpr_write_b32 a60, 0",1056,6560,2336,52,""
26,6696,"v_accvgpr_write_b32 a59, 0",1056,4464,240,0,""
26,6704,"v_accvgpr_write_b32 a58, 0",1056,4640,416,0,""
26,6712,"v_accvgpr_write_b32 a57, 0",1056,6676,2448,0,""
26,6720,"v_accvgpr_write_b32 a56, 0",1056,4504,280,80,""
26,6728,"v_accvgpr_write_b32 a27, 0",1056,4624,400,0,""
26,6736,"v_accvgpr_write_b32 a26, 0",1056,6600,2372,0,""
26,6744,"v_accvgpr_write_b32 a25, 0",1056,4480,256,0,""
26,6752,"v_accvgpr_write_b32 a24, 0",1056,4560,336,128,""
26,6760,"v_accvgpr_write_b32 a7, 0",1056,6684,2460,0,""
26,6768,"v_accvgpr_write_b32 a6, 0",1056,4444,220,0,""
26,6776,"v_accvgpr_write_b32 a5, 0",1056,4612,388,0,""
26,6784,"v_accvgpr_write_b32 a4, 0",1056,6436,2208,40,""
26,6792,"v_accvgpr_write_b32 a51, 0",1056,4444,220,0,""
26,6800,"v_accvgpr_write_b32 a50, 0",1056,4620,396,0,""
26,6808,"v_accvgpr_write_b32 a49, 0",1056,6348,2124,0,""
26,6816,"v_accvgpr_write_b32 a48, 0",1056,4460,236,40,""
26,6824,"v_accvgpr_write_b32 a55, 0",1056,4644,420,0,""
26,6832,"v_accvgpr_write_b32 a54, 0",1056,6364,2140,0,""
26,6840,"v_accvgpr_write_b32 a53, 0",1056,4456,232,0,""
26,6848,"v_accvgpr_write_b32 a52, 0",1056,4676,448,160,""
26,6856,"v_accvgpr_write_b32 a11, 0",1056,6508,2284,0,""
26,6864,"v_accvgpr_write_b32 a10, 0",1056,4476,252,0,""
26,6872,"v_accvgpr_write_b32 a9, 0",1056,4804,580,0,""
26,6880,"v_accvgpr_write_b32 a8, 0",1056,6392,2168,32,""
26,6888,"v_accvgpr_write_b32 a15, 0",1056,4476,252,0,""
26,6896,"v_accvgpr_write_b32 a14, 0",1056,4828,604,0,""
26,6904,"v_accvgpr_write_b32 a13, 0",1056,6368,2144,0,""
26,6912,"v_accvgpr_write_b32 a12, 0",1056,4484,260,52,""
26,6920,"v_accvgpr_write_b32 a43, 0",1056,4816,592,0,""
